,Model,M,starting_alpha,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.0,,1604.668406286105,102.28017020225525,1.6981293363368597,0,9.76923076923077,6,2,1.6792814858013652
1,drpm,0.1,0.1,,-699.1506685834004,86.25830507278442,1.6996114456717115,0,9.288461538461538,6,2,1.4945079457601231
2,drpm,0.1,0.25,,-954.8106339617354,90.26250505447388,1.6988107903941798,0,9.557692307692308,4,2,1.6792814858013652
3,drpm,0.1,0.5,,4279.355316444659,160.33837628364563,1.7031989102120466,0,13.076923076923077,6,2,1.6208016710844153
4,drpm,0.1,0.75,,739.6748153631113,117.12555432319641,1.7027845604059384,0,10.615384615384615,5,2,1.6792814858013652
5,drpm,0.1,0.9,,161265.5308543293,268.4103853702545,1.7073324909525538,2,16.942307692307693,4,1,1.6792814858013652
6,drpm,1.0,0.0,,-538.2037595474416,75.39513826370239,1.6947819969187783,0,10.038461538461538,5,2,1.6792814858013652
7,drpm,1.0,0.1,,1206.7124898575912,86.45887851715088,1.6953287182064476,0,10.403846153846153,6,2,1.478352505537838
8,drpm,1.0,0.25,,1939.292608290901,108.84070324897766,1.700232338372678,0,11.615384615384615,6,2,1.4945079457601231
9,drpm,1.0,0.5,,8011.566611210414,126.79896950721741,1.6985467061517412,0,12.25,4,2,1.4945079457601231
10,drpm,1.0,0.75,,13594.000099677132,130.92199516296387,1.702636735130343,0,12.942307692307692,4,2,1.4945079457601231
11,drpm,1.0,0.9,,-655.4721428277871,79.33720397949219,1.6962084184396913,0,10.134615384615385,5,2,1.6792814858013652
12,drpm,10.0,0.0,,-293.9809547263879,82.81391167640686,1.6953612889509715,0,11.442307692307692,4,2,1.6792814858013652
13,drpm,10.0,0.1,,-317.8998449577892,88.9108452796936,1.6979085950872297,0,11.038461538461538,5,2,1.4945079457601231
14,drpm,10.0,0.25,,113.28773128411402,89.75157356262207,1.6977229326291199,0,11.115384615384615,5,2,1.4945079457601231
15,drpm,10.0,0.5,,43548.556296954164,108.1407561302185,1.7075967636192448,0,13.461538461538462,4,2,1.6792814858013652
16,drpm,10.0,0.75,,35553.97962279369,109.14426708221436,1.7076419028545782,0,13.461538461538462,4,2,1.478352505537838
17,drpm,10.0,0.9,,-500.2508355704418,85.81084680557251,1.6933218064771696,0,11.115384615384615,4,2,1.478352505537838
18,drpm,100.0,0.0,,4916.8526593015595,78.697265625,1.6601388324249677,0,9.423076923076923,7,2,1.2895769416180844
19,drpm,100.0,0.1,,24906.633044697635,78.25159978866577,1.5986705534711634,2,9.884615384615385,18,1,1.4945079457601231
20,drpm,100.0,0.25,,76653.74346281643,82.62372136116028,1.6904974764299965,6,10.711538461538462,20,1,1.6792814858013652
21,drpm,100.0,0.5,,65199.43210544625,49.02893662452698,1.4991047855087254,7,7.038461538461538,34,1,1.6792814858013652
22,drpm,100.0,0.75,-26848.74205899307,31816.84562181261,41.751758337020874,1.5600548784071353,6,6.076923076923077,34,1,1.6792814858013652
23,drpm,100.0,0.9,,33905.9878598628,51.39177465438843,1.6228233166281736,6,7.653846153846154,34,1,1.6792814858013652
