IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_co,AQ_nh3,AQ_nox,AQ_no2,AQ_so2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LA_hvi,LA_lvi,LA_land_use,LA_soil_use,log_pm25,Week
600,45.306013,9.48526286,2021-07-30,80,17.428571428571427,6.428571428571429,0.7291714285714287,,24.211428571428574,17.099999999999998,2.125142857142857,21.844285714285714,1.4440714285714285,3.761,E,0.66169,0,99852.85714285714,14198142.857142856,84.21,94.33571428571427,99.54,2.5797142857142856,5.468,W,1915.0,19.91,,,,0.0,,0.0,0.0,216.5,84.46000000000001,2.202142857142857,2.8002857142857143,112,,2.005333569526114,30
600,45.306013,9.48526286,2021-08-06,80,25.0,8.142857142857142,0.3887,,28.46142857142857,21.68428571428572,2.387571428571428,24.08428571428572,1.1571999999999998,2.595,E,0.039806347,0,100211.42857142857,18090000.0,83.22,92.35285714285716,99.1,2.0717142857142856,4.892,E,1823.0,18.68,,,,0.0,,0.0,0.0,216.5,84.74428571428572,2.149,2.7665714285714285,112,,2.2129729343043585,31
600,45.306013,9.48526286,2021-08-13,80,32.714285714285715,10.571428571428571,0.4380857142857143,,25.17,18.95285714285714,2.511428571428571,25.55142857142857,1.9088571428571428,3.92,E,0.04679691,0,100332.85714285714,17907142.85714286,80.03,88.65428571428572,98.17,3.508714285714286,7.479,E,2393.0,13.81,,,,0.0,,0.0,0.0,216.5,85.05714285714284,2.088714285714286,2.7287142857142856,112,,2.4485390056171252,32
600,45.306013,9.48526286,2021-08-20,80,21.857142857142858,7.142857142857143,0.4118857142857143,,25.26714285714285,19.985,2.565714285714286,23.44714285714286,1.5722285714285713,3.744,E,0.12356098,0,100328.57142857143,16051428.57142857,80.55,89.43857142857144,98.26,2.8647142857142858,7.78,E,1701.0,20.6,,,,0.0,,0.0,0.0,216.5,85.38857142857144,2.0044285714285714,2.673428571428572,112,,2.097141118779237,33
600,45.306013,9.48526286,2021-08-27,80,19.142857142857142,5.857142857142857,0.3517857142857142,,24.955714285714286,18.11857142857143,2.776142857142857,20.505714285714284,1.8525571428571428,5.131,E,0.1277352,0,100381.42857142857,15307285.714285716,79.27,89.5657142857143,98.17,3.4038571428571425,8.627,E,2003.0,16.46,,,,0.0,,0.0,0.0,216.5,85.75571428571428,1.9182857142857144,2.617,112,,1.9252908618525775,34
600,45.306013,9.48526286,2021-09-03,80,32.0,12.285714285714286,0.3797571428571428,,35.574285714285715,28.02142857142857,3.500142857142857,22.21,1.8245714285714285,3.271,E,0.000743026,0,100757.14285714286,15198571.42857143,76.7,85.91142857142857,96.26,3.5012857142857143,6.341,E,1889.0,32.13,,,,0.0,,0.0,0.0,216.5,86.13285714285713,1.832,2.5604285714285715,112,,2.586689344097943,35
600,45.306013,9.48526286,2021-09-10,80,40.57142857142857,19.0,0.4690428571428572,,48.64571428571429,36.794285714285714,3.5791428571428567,22.94428571428572,1.155457142857143,2.478,E,0.24680943,0,100428.57142857143,12275142.857142856,76.61,89.07428571428571,98.83,2.044571428571429,5.496,E,1718.0,16.47,,,,0.0,,0.0,0.0,216.5,86.53714285714285,1.7464285714285717,2.5045714285714284,112,,2.995732273553991,36
600,45.306013,9.48526286,2021-09-17,80,21.428571428571427,7.142857142857143,0.4232285714285714,,37.71857142857143,25.425714285714285,3.0947142857142858,18.84285714285713,1.713142857142857,5.416,E,0.41367749,0,100521.42857142857,11810000.0,84.71,93.78142857142858,99.75,2.983285714285714,8.469,E,1408.0,26.75,,,,0.0,,0.0,0.0,216.5,86.96285714285715,1.6882857142857144,2.466857142857143,112,,2.097141118779237,37
600,45.306013,9.48526286,2021-09-24,80,36.0,12.428571428571429,0.5220285714285714,,49.32714285714285,31.73666666666666,2.535642857142857,19.12285714285714,1.3374428571428572,2.933,E,0.0441517799999999,0,100800.0,10634142.857142856,84.91,93.96571428571428,99.79,2.262857142857143,6.082,E,1422.0,14.11,,,,0.0,,0.0,0.0,216.5,87.41142857142857,1.642571428571428,2.4375714285714287,112,,2.597384633214691,38
600,45.306013,9.48526286,2021-10-01,80,21.0,7.142857142857143,0.2940285714285714,,40.45428571428571,24.101666666666663,0.6914142857142858,17.102857142857143,2.4152857142857145,6.603,E,0.922096,1,100514.28571428572,7240571.428571428,82.84,93.25571428571428,99.33,4.378571428571429,12.36,E,1324.0,28.37,,,,0.0,,0.0,0.0,216.5,87.87857142857145,1.5967142857142858,2.4082857142857144,112,,2.097141118779237,39
