,IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_nox,AQ_no2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LA_hvi,LA_lvi,LA_land_use,log_pm25,Week
0,1264,46.1678524,9.87920992,2019-01-04,290,42.0,31.714285714285715,89.38142857142859,43.74999999999999,-7.062714285714285,1.262857142857143,1.765,S,0.0727418,5,83258.57142857143,2850714.285714286,84.36,90.91714285714284,94.97,3.627142857142857,5.174,S,1841.0,24.24,0.1997,0.0800071428571428,0.0016181428571428,4.5489,0.5999714285714285,10.568,2.6433,0.2873999999999999,4.646999999999999,3.996142857142857,1.2327142857142857,112,3.4878118544989265,1
1,1264,46.1678524,9.87920992,2019-01-11,290,33.42857142857143,26.857142857142858,89.35000000000001,39.61571428571428,-6.936142857142857,1.047828571428571,1.683,S,0.2514623,5,82904.28571428571,2762571.4285714286,83.15,92.4357142857143,98.69,2.661714285714286,4.703,S,1610.0,10.52,0.2010142857142856,0.1243299999999999,0.0010788857142857,4.916499999999999,0.6047142857142856,10.611,2.6905,0.2873999999999999,4.646999999999999,3.994428571428571,1.231,112,3.3270894095084333,2
2,1264,46.1678524,9.87920992,2019-01-18,290,34.857142857142854,28.714285714285715,78.01714285714286,41.55285714285714,-11.653428571428572,0.8965142857142857,1.559,S,0.00856038,0,82262.85714285714,3113285.714285714,80.92,90.11142857142856,98.28,1.579942857142857,4.239,S,546.9,10.9,0.2049142857142857,0.2613857142857143,0.0005690285714285,5.924600000000001,0.6154285714285714,10.65,2.7215,0.2942428571428571,4.646999999999999,3.995000000000001,1.2314285714285715,112,3.391627930646005,3
3,1264,46.1678524,9.87920992,2019-01-25,290,42.85714285714285,35.142857142857146,89.49857142857142,44.39571428571429,-9.844142857142856,0.9321285714285716,1.77,S,0.0566135,5,81810.0,3174285.714285714,83.27,92.31857142857145,99.14,2.314142857142857,5.018,S,888.7,9.691,0.2108142857142856,0.4417714285714286,0.0002208571428571,7.197199999999999,0.6268571428571429,10.586,2.7023,0.3353,4.646999999999999,3.996,1.232714285714286,112,3.587479339672207,4
4,1264,46.1678524,9.87920992,2019-02-01,290,33.57142857142857,30.428571428571427,95.16428571428573,47.04714285714285,-5.941428571428572,0.9525857142857144,1.55,S,0.5595218470000001,0,82778.57142857143,2815171.4285714286,76.2,89.91285714285713,99.41,2.0045714285714284,4.409,S,1253.0,10.26,0.218,0.6228999999999999,0.0001158714285714,8.395999999999999,0.6349714285714286,10.317000000000002,2.5831,0.3353,4.646999999999999,3.996857142857143,1.234142857142857,112,3.447717397297048,5
5,1264,46.1678524,9.87920992,2019-02-08,290,30.714285714285715,26.0,67.73285714285716,41.69571428571429,-5.031857142857143,1.0085142857142857,1.975,S,0.11254966,0,83648.57142857143,3732428.5714285714,81.08,91.02142857142856,99.68,2.3969285714285715,5.235,S,1622.0,10.27,0.2259999999999999,0.8143285714285714,9.259428571428571e-05,9.551,0.642242857142857,9.787999999999998,2.302,0.3489857142857143,4.667571428571429,3.997857142857143,1.235428571428571,112,3.295836866004329,6
6,1264,46.1678524,9.87920992,2019-02-15,290,34.285714285714285,24.571428571428573,64.34857142857142,40.33571428571429,-2.2438571428571428,0.9203571428571428,1.386,S,3.1352e-05,0,84114.28571428571,5157142.857142857,75.87,85.30285714285715,96.98,1.2337285714285713,3.213,S,578.8,10.56,0.2363285714285714,1.0517142857142856,8.193999999999999e-05,10.989999999999998,0.6497,9.155,1.9601,0.3832,4.695,4.004714285714285,1.244,112,3.241475656785442,7
7,1264,46.1678524,9.87920992,2019-02-22,290,36.85714285714285,27.142857142857142,46.21,31.75,1.3771714285714285,0.932442857142857,1.538,S,0.0022493439999999,0,84325.71428571429,6191428.571428572,72.57,86.0657142857143,95.1,2.158714285714286,4.15,S,1466.0,11.14,0.2510571428571428,1.3685714285714283,7.845857142857143e-05,13.053999999999998,0.6569285714285715,8.614,1.702,0.3968857142857142,4.695,4.019857142857143,1.263,112,3.337293579682675,8
8,1264,46.1678524,9.87920992,2019-03-01,290,23.428571428571427,18.285714285714285,43.462857142857146,30.940000000000005,-0.9333857142857144,0.8273714285714286,1.418,S,0.42603838,0,82977.14285714286,5449285.714285715,79.65,92.66428571428573,99.81,1.907,3.768,S,1547.0,10.7,0.2721857142857143,1.7541428571428572,7.687428571428571e-05,15.762999999999998,0.6639142857142858,8.34,1.6279,0.4310999999999999,4.695,4.035,1.2817142857142856,112,2.959364629383116,9
9,1264,46.1678524,9.87920992,2019-03-08,290,15.857142857142858,13.0,25.50142857142857,18.31,-1.831642857142857,0.8867285714285715,2.324,S,0.1022909999999999,0,83190.0,6432857.142857143,80.67,91.50714285714288,99.35,2.054428571428572,5.552,NW,2219.0,11.0,0.3000714285714285,2.076571428571429,7.439285714285715e-05,18.186,0.6715714285714285,8.318999999999999,1.6169999999999998,0.4516285714285714,4.695,4.05,1.3002857142857145,112,2.6390573296152584,10
