IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_co,AQ_nh3,AQ_nox,AQ_no2,AQ_so2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LA_hvi,LA_lvi,LA_land_use,LA_soil_use,log_pm25,Week
1264,46.1678524,9.87920992,2018-01-05,290,36.71428571428572,31.857142857142858,,,111.20714285714288,32.39714285714286,,-2.696614285714286,0.7350857142857142,1.378,SE,0.4357859999999999,1,83078.57142857143,1859871.4285714289,86.29,96.19142857142856,99.22,1.7898,3.353,E,420.7,10.12,0.1999142857142857,0.07887,0.001546,4.324,0.677557142857143,11.047,2.6908,0.3353,4.503,3.995857142857144,1.2324285714285714,112,3.0,3.492169159867882,1
1264,46.1678524,9.87920992,2018-01-12,290,33.57142857142857,25.428571428571427,,,78.8442857142857,34.87428571428571,,-8.638857142857143,0.8932285714285715,2.039,S,0.0919501,5,82907.14285714286,2617285.714285714,85.8,92.74142857142854,97.6,1.4470714285714286,4.38,S,2640.0,10.24,0.2016571428571428,0.1395114285714285,0.0010021428571428,4.8022,0.6842571428571428,11.096,2.7390000000000003,0.3353,4.503,3.994428571428572,1.2308571428571429,112,3.0,3.2744456760230114,2
1264,46.1678524,9.87920992,2018-01-19,290,37.285714285714285,26.857142857142858,,,87.96428571428571,38.99571428571429,,-5.043857142857142,0.8603714285714287,1.682,S,0.36722156,5,83137.14285714286,2638285.714285714,82.47,92.2714285714286,99.31,1.889257142857143,4.92,S,1172.0,10.11,0.2058857142857142,0.2859571428571428,0.0005068714285714,5.869999999999999,0.6965000000000001,11.129,2.7672,0.3353,4.503,3.995142857142857,1.2315714285714283,112,3.0,3.3270894095084333,3
1264,46.1678524,9.87920992,2018-01-26,290,45.285714285714285,38.142857142857146,,,94.21285714285716,36.80571428571428,,-3.056142857142857,0.7812857142857144,1.422,S,0.2394408969999999,0,83785.71428571429,2640242.8571428573,83.15,93.69571428571427,99.71,1.496142857142857,2.707,S,254.2,10.24,0.2120285714285714,0.4687,0.0001922,7.154400000000001,0.7087142857142856,11.052,2.7423,0.3353,4.503,3.996,1.233,112,3.0,3.667217957332757,4
1264,46.1678524,9.87920992,2018-02-02,290,28.0,23.428571428571427,,,56.34285714285714,32.90714285714285,,-7.293714285714286,0.7779857142857142,1.337,S,0.087058,5,82444.28571428571,3004571.4285714286,82.6,93.14,97.78,1.6168571428571428,3.832,S,863.5,10.65,0.2193285714285714,0.6493857142857143,0.0001116857142857,8.346,0.7173714285714284,10.758,2.6092000000000004,0.3353,4.503,3.997,1.2342857142857144,112,3.0,3.1957534074473464,5
1264,46.1678524,9.87920992,2018-02-09,290,26.0,20.428571428571427,,,53.32166666666666,33.669999999999995,,-9.393285714285714,0.8830714285714285,1.378,S,0.0511663,5,82677.14285714286,3983571.4285714286,73.29,90.90428571428572,98.73,1.618542857142857,3.693,S,1069.0,10.19,0.2274999999999999,0.8455571428571428,9.052571428571428e-05,9.549,0.7255999999999999,10.226,2.3257,0.3353,4.503,3.9980000000000007,1.2355714285714283,112,3.0,3.0647251450409425,6
1264,46.1678524,9.87920992,2018-02-16,290,42.85714285714285,34.857142857142854,,,59.23428571428571,34.50857142857143,,-5.082285714285715,0.6874857142857144,1.431,S,0.0634486,5,82824.28571428571,3997142.857142857,82.54,93.56428571428572,99.53,1.5365714285714285,3.488,S,1132.0,10.86,0.2383714285714285,1.0925,8.121571428571428e-05,11.092,0.734,9.622,2.0026,0.3353,4.503,4.006857142857143,1.2467142857142857,112,3.0,3.5795427900764705,7
1264,46.1678524,9.87920992,2018-02-23,290,39.285714285714285,34.0,,,40.27285714285714,26.59857142857143,,-9.742571428571429,0.6494571428571428,1.291,SE,0.256152,5,82202.85714285714,4086857.142857143,79.96,92.33,99.61,1.4265714285714286,2.87,SE,1661.0,10.64,0.2539142857142857,1.4237142857142857,7.831571428571427e-05,13.300999999999998,0.7421428571428572,9.132,1.7759,0.3353,4.503,4.022142857142858,1.2657142857142856,112,3.0,3.5553480614894135,8
1264,46.1678524,9.87920992,2018-03-02,290,38.0,33.42857142857143,,,53.49428571428571,34.294285714285714,,-4.494,0.7364571428571429,1.437,S,0.2693237,5,81632.85714285714,3987285.714285714,78.8,95.25,99.64,1.4529285714285716,3.084,S,1050.0,10.66,0.2761,1.8062857142857145,7.666142857142857e-05,16.026,0.750057142857143,8.914,1.7181999999999995,0.3353,4.503,4.0371428571428565,1.2842857142857145,112,3.0,3.5388867844353418,9
1264,46.1678524,9.87920992,2018-03-09,290,24.857142857142858,19.428571428571427,,,42.05,26.17571428571429,,-0.9089537142857144,0.6581000000000001,1.244,S,0.4795717,1,82472.85714285714,4237428.571428572,85.38,95.95857142857145,99.85,1.5277142857142856,2.774,N,1560.0,10.3,0.3048285714285714,2.1254285714285714,7.40657142857143e-05,18.444,0.7587714285714285,8.924999999999999,1.7055000000000002,0.3353,4.503,4.052142857142857,1.3029999999999995,112,3.0,3.016934481204594,10
