IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_co,AQ_nh3,AQ_nox,AQ_no2,AQ_so2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LA_hvi,LA_lvi,LA_land_use,LA_soil_use
STA.IT0643A,44.9066,8.612,2016-08-05,95,14.428571428571429,,,,,26.767142857142854,,23.08428571428572,1.7552857142857143,4.908,SE,0.219438741,0,99591.42857142857,18907142.85714286,74.56,85.16,98.42,3.202428571428572,7.605,SE,2008.0,21.5,4.875,3.890428571428572,0.1372571428571428,63.46300000000001,4.009142857142857,37.563,9.027,2.101428571428571,71.03714285714287,2.0620000000000003,2.210714285714286,112,
STA.IT0643A,44.9066,8.612,2016-08-12,95,19.714285714285715,,,,,23.39285714285714,,24.22714285714286,1.6768571428571428,4.371,N,0.0444491429999999,0,99628.57142857143,17971428.57142857,74.11,86.99285714285715,96.95,2.6735714285714285,6.309,N,1818.0,27.24,4.794714285714286,2.895285714285715,0.1912428571428571,55.834,3.846428571428572,37.682,9.518999999999998,2.090857142857143,71.04,2.055,2.1472857142857142,112,
STA.IT0643A,44.9066,8.612,2016-08-19,95,29.428571428571427,,,,,26.00142857142857,,24.04,1.7675714285714286,4.548,SE,0.04377034,0,99714.28571428572,15488285.714285716,72.84,87.10285714285715,98.28,2.8841428571428573,8.567,SE,1700.0,27.44,4.715428571428572,1.904714285714286,0.2532,48.539,3.660285714285714,37.843,10.107,2.080142857142857,71.04714285714286,2.0482857142857145,2.060857142857143,112,
STA.IT0643A,44.9066,8.612,2016-08-26,95,23.0,,,,,28.40333333333333,,24.174285714285716,1.789857142857143,3.945,SE,0.2411809999999999,0,99768.57142857143,15770142.857142856,72.35,88.72142857142858,99.3,2.8358571428571437,6.781,SE,1561.0,21.21,4.629285714285714,1.1293714285714287,0.3194714285714286,43.440000000000005,3.4965714285714284,38.177,10.664,2.070142857142857,71.05,2.042,1.97,112,
STA.IT0643A,44.9066,8.612,2016-09-02,95,26.83333333333333,,,,,33.73142857142857,,23.83714285714285,1.8378571428571424,4.393,S,0.0044000419999999,0,99577.14285714286,14780000.0,70.14,87.08428571428571,98.95,2.9402857142857144,9.141,S,1750.0,22.09,4.531428571428571,0.7263428571428572,0.3913,41.56,3.387142857142857,38.884,11.109,2.060142857142857,71.05,2.035,1.879,112,
STA.IT0643A,44.9066,8.612,2016-09-09,95,38.0,,,,,38.04285714285714,,23.67285714285714,1.6352857142857142,4.846,SW,0.1627641,0,99450.0,13654000.0,73.66,87.49285714285715,98.88,2.4034285714285715,5.253,N,1731.0,23.47,4.429,0.6240571428571429,0.4765,41.199000000000005,3.311142857142857,40.161,11.524,2.0508571428571427,71.06,2.028,1.7880000000000005,112,
STA.IT0643A,44.9066,8.612,2016-09-16,95,23.428571428571427,,,,,36.885714285714286,,18.232857142857146,1.5754285714285714,3.803,NW,0.25255,0,99211.42857142857,11271571.42857143,76.2,91.18285714285716,99.27,2.4672857142857145,4.647,NW,1852.0,24.83,4.318857142857143,0.7214714285714285,0.5642571428571428,41.588,3.2551428571428573,41.739,11.904,2.043142857142857,71.06,2.019428571428571,1.7004285714285714,112,
STA.IT0643A,44.9066,8.612,2016-09-23,95,38.85714285714285,,,,,54.91571428571429,,18.324285714285715,1.321457142857143,3.402,SW,0.005491846,0,100257.14285714286,12866857.142857144,78.04,90.20571428571428,98.68,1.933142857142857,5.694,SE,1660.0,14.96,4.194999999999999,0.9327142857142856,0.6400714285714286,42.349,3.212,43.268,12.228,2.0347142857142857,71.06142857142858,2.009285714285714,1.6155714285714284,112,
STA.IT0643A,44.9066,8.612,2016-09-30,95,26.0,,,,,41.44285714285714,,16.975714285714286,1.7882857142857145,4.508,N,0.0343225,0,99612.85714285714,10807857.142857144,77.07,89.76142857142857,99.65,3.173142857142857,8.102,N,1691.0,22.0,4.050428571428571,1.1925714285714286,0.6914285714285714,43.247,3.1762857142857146,44.446,12.471,2.0261428571428577,71.07,1.999142857142857,1.5305714285714285,112,
STA.IT0643A,44.9066,8.612,2016-10-07,95,27.714285714285715,,,,,43.08571428571429,,11.365714285714288,1.7100428571428572,3.478,S,0.2152453,0,99470.0,7498571.428571428,78.12,91.84,98.55,3.476142857142857,7.038,SE,1569.0,25.01,3.875428571428571,1.5738571428571428,0.7232999999999999,44.932,3.152714285714286,45.386,12.646000000000004,2.019,71.07,1.989142857142857,1.445714285714286,112,
STA.IT0643A,44.9066,8.612,2016-10-14,95,37.142857142857146,,,,,41.61857142857143,,12.25542857142857,1.253,3.35,NW,0.7827468,0,99632.85714285714,5981171.428571428,87.49,96.80428571428573,99.8,2.057142857142857,6.878,SE,1013.0,16.31,3.682,2.0588571428571427,0.7397999999999999,47.30800000000001,3.140285714285714,46.188,12.786,2.011857142857143,71.07142857142857,1.9808571428571429,1.3787142857142858,112,
STA.IT0643A,44.9066,8.612,2016-10-21,95,39.42857142857143,,,,,42.97714285714286,,11.635857142857144,1.096757142857143,2.557,SW,0.290852,1,99890.0,4413757.142857143,86.17,97.00857142857144,99.88,2.2434285714285718,4.3,S,1072.0,19.78,3.489857142857143,2.5548571428571427,0.7394428571428572,49.755,3.1347142857142853,46.816,12.914,2.005428571428572,71.08,1.9765714285714284,1.3515714285714286,112,
STA.IT0643A,44.9066,8.612,2016-10-28,95,66.14285714285714,,,,,47.33428571428572,,11.384285714285712,1.057157142857143,2.644,W,0.01294889,1,100217.14285714286,7320285.714285715,89.5,96.53142857142858,99.92,1.9222857142857144,5.098,SE,832.6,12.88,3.3175714285714286,2.970285714285714,0.7205571428571428,51.656000000000006,3.129714285714285,47.237,13.052,1.9997142857142864,71.08,1.9725714285714289,1.3257142857142856,112,
STA.IT0643A,44.9066,8.612,2016-11-04,95,40.85714285714285,,,,,51.45285714285715,,7.123285714285715,1.264542857142857,2.219,NW,0.2690996999999999,0,98687.14285714286,5460771.428571428,82.68,94.61714285714288,99.36,2.1637142857142857,4.634,SW,949.0,21.21,3.1785714285714293,3.3268571428571434,0.6749571428571429,53.193,3.125,47.505,13.374999999999998,1.994,71.08714285714288,1.9685714285714289,1.2997142857142858,112,
STA.IT0643A,44.9066,8.612,2016-11-11,95,60.71428571428572,,,,,57.64999999999999,,5.578285714285714,1.2435857142857143,2.604,NW,0.0355994699999999,0,100038.57142857143,5708857.142857143,80.3,94.88571428571429,99.66,2.453285714285714,5.33,SE,610.5,17.09,3.0625714285714287,3.685,0.6017428571428571,54.77799999999999,3.120428571428572,47.644,13.97,1.99,71.09000000000002,1.9645714285714289,1.2742857142857142,112,
STA.IT0643A,44.9066,8.612,2016-11-18,95,57.0,,,,,49.96142857142858,,9.224571428571428,1.5813428571428572,6.565,SE,0.92877,1,99522.85714285714,1333485.7142857143,95.29,98.8557142857143,99.9,2.939714285714285,10.5,SW,623.1,40.0,2.9541428571428567,3.938714285714286,0.5178142857142857,55.61600000000001,3.1105714285714288,47.516,14.598,1.985714285714285,71.09857142857143,1.962,1.256,112,
